fasta	Group	Genus	Species	Class	Mono/Ditypic	Sat.names	Genome note
ihAelAcum1.1.fa	Hemiptera	Aelia	acuminata	Holocentric	NA	NA	https://wellcomeopenresearch.org/articles/6-320/v1
ihAcaHaem1.1.fa	Hemiptera	Acanthosoma	haemorrhoidale	Holocentric	NA	NA	https://wellcomeopenresearch.org/articles/7-178/v1
ihIcePurc2.1.fa	Hemiptera	Icerya	purchasi	Holocentric	NA	NA	https://doi.org/10.12688/wellcomeopenres.20653.1
ilPieNapi4.1.fa	Lepidoptera	Pieris	napi	Holocentric	NA	NA	https://wellcomeopenresearch.org/articles/6-288/v1
ilNotUddm1.1.fa	Lepidoptera	Notocelia	uddmanniana	Holocentric	NA	NA	https://wellcomeopenresearch.org/articles/6-348/v1
ilThoDeci1.1.fa	Lepidoptera	Tholera	decimalis	Holocentric	NA	NA	https://wellcomeopenresearch.org/articles/8-200
ilAgoAren1.1.fa	Lepidoptera	Agonopterix	arenella	Holocentric	NA	NA	https://wellcomeopenresearch.org/articles/8-214
ilBisBetu1.1.fa	Lepidoptera	Biston	betularia	Holocentric	NA	NA	https://wellcomeopenresearch.org/articles/7-97
ilDeiPorc1.1.fa	Lepidoptera	Deilephila	porcellus	Holocentric	NA	NA	https://wellcomeopenresearch.org/articles/7-80/v1
ilEmmMono1.1.fa	Lepidoptera	Emmelina	monodactyla	Holocentric	NA	NA	https://wellcomeopenresearch.org/articles/8-97
ilHydMica1.1.fa	Lepidoptera	Hydraecia	micacea	Holocentric	NA	NA	https://wellcomeopenresearch.org/articles/7-131/v1
ilMicArun2.1.fa	Lepidoptera	Micropterix	aruncella	Holocentric	NA	NA	https://wellcomeopenresearch.org/articles/8-1/v1
ilParStra1.1.fa	Lepidoptera	Parapoynx	stratiotata	Holocentric	NA	NA	https://wellcomeopenresearch.org/articles/7-121/v1
ilParAegt1.1.fa	Lepidoptera	Pararge	aegeria	Holocentric	NA	NA	https://wellcomeopenresearch.org/articles/6-287
ilPyrMalv3.1.fa	Lepidoptera	Pyrgus	malvae	Holocentric	NA	NA	https://wellcomeopenresearch.org/articles/7-114/v1
ilSesBemb1.1.fa	Lepidoptera	Sesia	bembeciformis	Holocentric	NA	NA	https://wellcomeopenresearch.org/articles/8-109
ilTinTrin1.1.fa	Lepidoptera	Tinea	trinotella	Holocentric	NA	NA	https://wellcomeopenresearch.org/articles/7-124/v1
ilWatBina1.1.fa	Lepidoptera	Watsonalla	binaria	Holocentric	NA	NA	https://wellcomeopenresearch.org/articles/8-324
ilYpsScab1.1.fa	Lepidoptera	Ypsolopha	scabrella	Holocentric	NA	NA	https://wellcomeopenresearch.org/articles/8-341/v1
ilZeuPyri1.1.fa	Lepidoptera	Zeuzera	pyrina	Holocentric	NA	NA	https://wellcomeopenresearch.org/articles/8-94/v1
ioIscEleg1.1.fa	Odonata	Ischnura	elegans	Holocentric	NA	NA	https://wellcomeopenresearch.org/articles/7-66/v1
ioPlaPenn1.1.fa	Odonata	Platycnemis	pennipes	Holocentric	NA	NA	https://wellcomeopenresearch.org/articles/8-320/v1
iiGlyPell1.1.fa	Trichoptera	Glyphotaelius	pellucidus	Holocentric	NA	NA	https://wellcomeopenresearch.org/articles/8-102
lpLuzSylv1.1.fa	Monocots	Luzula	sylvatica	Holocentric+sat	Ditypic	lpLuzSylv.125; lpLuzSylv.174	https://wellcomeopenresearch.org/articles/9-124
lpCarDepa1.1.fa	Monocots	Carex	depauperata	Holocentric+sat	Monotypic	lpCarDepa.81	https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964197715.1/
lpSchLacu1.1.fa	Monocots	Schoenoplectus	lacustris	Holocentric+sat	Monotypic	lpSchLacu.179	https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964200675.1/
iiLimLuna2.1.fa	Trichoptera	Limnephilus	lunatus	Holocentric+sat	Monotypic	iiLimLuna.249	https://wellcomeopenresearch.org/articles/8-25/v1
iiLimMarm1.1.fa	Trichoptera	Limnephilus	marmoratus	Holocentric+sat	Monotypic	iiLimMarm.205	https://wellcomeopenresearch.org/articles/8-64/v1
iiLimRhom1.1.fa	Trichoptera	Limnephilus	rhombicus	Holocentric+sat	Monotypic	iiLimRhom.187	https://wellcomeopenresearch.org/articles/8-170
bGalGal1.GRCg7b.fa	Aves	Gallus	gallus	Mixed	Monotypic	NA	https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_016699485.2/
icSilAtra2.1.fa	Coleoptera	Phosphuga	atrata	Mixed	Monotypic	NA	https://wellcomeopenresearch.org/articles/8-562
icPolCerv1.1.fa	Coleoptera	Polydrusus	cervinus	Mixed	Monotypic	NA	https://wellcomeopenresearch.org/articles/8-563
daArcMinu1.1.fa	Dicots	Arctium	minus	Mixed	Monotypic	NA	https://wellcomeopenresearch.org/articles/9-589/v1
daLycEuro1.1.fa	Dicots	Lycopus	europaeus	Mixed	Monotypic	NA	None
daPulDyse1.1.fa	Dicots	Pulicaria	dysenterica	Mixed	Monotypic	NA	https://wellcomeopenresearch.org/articles/8-447
drTriFrag1.1.fa	Dicots	Trifolium	fragiferum	Mixed	Monotypic	NA	https://wellcomeopenresearch.org/articles/9-158/v1
Rosa	Dicots	Rosa	canina	Mixed	Monotypic	NA	Rosa
idPhyMeln1.1.fa	Diptera	Phyto	melanocephala	Mixed	Monotypic	NA	https://wellcomeopenresearch.org/articles/8-249
idSyrPipi1.1.fa	Diptera	Syritta	pipiens	Mixed	Monotypic	NA	https://wellcomeopenresearch.org/articles/8-349
idProAzur1.1.fa	Diptera	Protocalliphora	azurea	Mixed	Monotypic	NA	https://wellcomeopenresearch.org/articles/8-67/v1
